"HydroID","openwater_1985_pct","openwater_1990_pct","openwater_1995_pct","openwater_2002_pct","openwater_2006_pct","openwater_2010_pct","openwater_2015_pct"
"201495097",0.0485225770690317,0.0484799386006055,0.0474992538268025,0.0469449537372618,0.0465612075214258,0.0466464844582783,0.0462200997740161
"201495098",0,0,0,0,0,0,0
"201495099",0.00860541635029107,0.00531511009870919,0.00455580865603645,0.00442925841559099,0.00442925841559099,0.00442925841559099,0.00442925841559099
"201495100",0.00621393697292499,0.00266311584553928,0.00133155792276964,0.00177541056369285,0.00177541056369285,0.00266311584553928,0.00266311584553928
"201495101",0.0113914677906248,0.00939796092726548,0.00877143019878111,0.00848664350401549,0.00837272882610924,0.00854360084296862,0.00848664350401549
"201495102",0.000696864111498258,0.00104529616724739,0.000696864111498258,0.000348432055749129,0.000348432055749129,0.000348432055749129,0.000348432055749129
"201495103",0,0,0,0,0,0,0
"201495104",0.0180475799835931,0.0181159420289855,0.0177741318020235,0.0168854252119223,0.0166803390757451,0.0166803390757451,0.016133442712606
"201495105",0.0122137404580153,0.0122137404580153,0.0122137404580153,0.0122137404580153,0.0122137404580153,0.0122137404580153,0.0122137404580153
"201495106",0.011686143572621,0.011686143572621,0.0108514190317195,0.00918196994991653,0.00834724540901502,0.00834724540901502,0.00751252086811352
"201495107",0.0354633109985292,0.0336656316391567,0.0339924824317699,0.0308873999019448,0.0307239745056382,0.0338290570354633,0.033175355450237
"201495108",0.0111475409836066,0.0111475409836066,0.0111475409836066,0.0111475409836066,0.0111475409836066,0.0111475409836066,0.0104918032786885
"201495109",0,0,0,0.00326530612244898,0.00244897959183673,0.00244897959183673,0.00244897959183673
"201495110",0,0,0,0,0,0,0
"201495111",0.00259259259259259,0.00148148148148148,0.00185185185185185,0.00185185185185185,0.00222222222222222,0.00222222222222222,0.00222222222222222
"201495112",0.0053657576055922,0.0045288963276558,0.00379048931771192,0.0031013094417643,0.0031013094417643,0.0031013094417643,0.00305208230776804
"201495113",0,0,0,0,0,0,0
"201495114",0.00540540540540541,0.00585585585585586,0.00585585585585586,0.00495495495495495,0.00495495495495495,0.00495495495495495,0.00405405405405405
"201495115",0.00856989823245849,0.00696304231387252,0.00642742367434387,0.00589180503481521,0.00589180503481521,0.00642742367434387,0.00642742367434387
"201495116",0,0,0,0,0,0,0
"201495117",0.017515923566879,0.017515923566879,0.0176486199575372,0.00968683651804671,0.00955414012738853,0.00955414012738853,0.00955414012738853
"201495118",0.0182843092376306,0.0179311788017107,0.0173001216338168,0.0165840515832015,0.0164238349965341,0.0164892295217044,0.0162832367674178
"201495119",0.00981787835648716,0.00809974964410191,0.00755976633449512,0.00731431937558294,0.00721614059201807,0.00736340876736537,0.00731431937558294
"201495120",0.00922343201655718,0.00764869972104742,0.00715378385674435,0.00692882210024296,0.0068388373976424,0.00697381445154324,0.00692882210024296
"201495121",0.00706033376123235,0.00706033376123235,0.00513478818998716,0.00385109114249037,0.00385109114249037,0.00385109114249037,0.00385109114249037
"201495122",0.0436213991769547,0.0417695473251029,0.0409465020576132,0.0397119341563786,0.0390946502057613,0.0393004115226337,0.0388888888888889
"201495123",0.0118373648996397,0.0108080288214102,0.0118373648996397,0.0118373648996397,0.011322696860525,0.0118373648996397,0.0118373648996397
"201495124",0.00376196990424077,0.00376196990424077,0.00341997264021888,0.00341997264021888,0.00341997264021888,0.00341997264021888,0.00341997264021888
"201495125",0,0,0,0,0,0,0
"201495126",0.0323472823472823,0.0266955266955267,0.0262145262145262,0.0242905242905243,0.0242905242905243,0.0242905242905243,0.0239297739297739
"201495127",0.0185185185185185,0.0175175175175175,0.017017017017017,0.017017017017017,0.0165165165165165,0.0165165165165165,0.016016016016016
"201495128",0.00743075883809953,0.00698040981760865,0.00540418824589057,0.00517901373564513,0.00517901373564513,0.00517901373564513,0.00517901373564513
"201495129",0.0371055434112438,0.0350877192982456,0.034246959251163,0.0337425032229135,0.0337425032229135,0.0355361246566896,0.0350877192982456
"201495130",0.00198216055500496,0,0,0,0,0,0
"201495131",0.0302149912841371,0.0244044160371877,0.020918070889018,0.0191748983149332,0.0191748983149332,0.0191748983149332,0.0191748983149332
"201495132",0.0217391304347826,0.0207729468599034,0.021256038647343,0.0207729468599034,0.0207729468599034,0.0207729468599034,0.0202898550724638
"201495133",0,0,0,0,0,0,0
"201495134",0.00398680230959582,0.00398680230959582,0.00357437448446522,0.00357437448446522,0.00357437448446522,0.00357437448446522,0.00357437448446522
"201495135",0,0,0,0,0,0,0
"201495136",0.00103145951521403,0.00103145951521403,0.00103145951521403,0.00103145951521403,0.00103145951521403,0.00103145951521403,0.00103145951521403
"201495137",0,0,0,0,0,0,0
"201495138",0,0,0,0,0,0,0
"201495139",0,0,0,0,0,0,0
"201495140",0.0266930172891516,0.0259061725975978,0.0254530480281427,0.0249371595825131,0.0248315325713901,0.0248851114900757,0.024551391367977
"201495141",0.0150435471100554,0.00818157825283716,0.00686196885721826,0.00659804697809448,0.00659804697809448,0.00659804697809448,0.00659804697809448
"201495142",0,0,0,0,0,0,0
"201495143",0.0298295454545455,0.0284090909090909,0.0285382231404959,0.0258264462809917,0.0255681818181818,0.028021694214876,0.0273760330578512
"201495144",0.000564971751412429,0.00112994350282486,0.000564971751412429,0.00169491525423729,0.000564971751412429,0.000564971751412429,0.000564971751412429
"201495145",0,0,0,0,0,0,0
"201495146",0.0358239508700102,0.0357102240418515,0.0353690435573752,0.0346298191743432,0.0344023655180257,0.0344023655180257,0.0338337313772319
"201495147",0.0125809435707678,0.00758556891766883,0.00647548566142461,0.0059204440333025,0.00555041628122109,0.00555041628122109,0.00555041628122109
"201495148",0.0491018422766096,0.0490252403385806,0.0480677161132177,0.0474932015779999,0.0471484928568693,0.0472250947948983,0.0466888812286951
"201495149",0.0276110444177671,0.0228091236494598,0.0204081632653061,0.0180072028811525,0.0180072028811525,0.0180072028811525,0.0180072028811525
"201495150",0.0302170210907821,0.0286887035500633,0.0279027116719794,0.027335050871141,0.027335050871141,0.0287323697655124,0.0283830400419196
"201495151",0.000499001996007984,0,0,0,0,0,0
"201495152",0.0742760571483364,0.0729096749448653,0.072106625755106,0.070776200978042,0.0705364848019944,0.070584428037204,0.0703447118611564
"201495153",0.138261202604366,0.135101493680582,0.134239754883187,0.132803523554194,0.132803523554194,0.133952508617388,0.132324779777863
"201495154",0.0268224618337827,0.0260105562514512,0.0255461876670211,0.0250285793722742,0.024926536594167,0.02502562161059,0.0246899156594256
"201495155",0.0166493236212279,0.0166493236212279,0.0145681581685744,0.0145681581685744,0.0145681581685744,0.0145681581685744,0.0145681581685744
"201495156",0.0382008626001232,0.0382008626001232,0.0375847196549599,0.0375847196549599,0.0375847196549599,0.0375847196549599,0.0375847196549599
"201495157",0.0019837460805017,0.00204773788955014,0.00179177065335637,0.00166378703525949,0.00166378703525949,0.00172777884430793,0.00166378703525949
"201495158",0.0131812883715684,0.0129718057935361,0.0125904400745543,0.012085533348015,0.012085533348015,0.0121446181777164,0.0118330799847454
"201495159",0.00240096038415366,0.00240096038415366,0.00240096038415366,0.00240096038415366,0.00240096038415366,0.00240096038415366,0.00240096038415366
"201495160",0.0473421926910299,0.0249169435215947,0.0207641196013289,0.0207641196013289,0.0207641196013289,0.0207641196013289,0.0207641196013289
"201495161",0.0144736842105263,0.0146929824561404,0.0146929824561404,0.0144736842105263,0.0144736842105263,0.0144736842105263,0.0144736842105263
"201495162",0.00900630441308916,0.00780546382467727,0.00870609426598619,0.00690483338336836,0.00690483338336836,0.00690483338336836,0.00630441308916241
"201495163",0.0299679070170873,0.0255876485384682,0.0255009107468124,0.0255009107468124,0.0252406973718449,0.0252406973718449,0.0251105906843612
"201495164",0,0,0,0,0,0.00172711571675302,0.00172711571675302
"201495165",0,0,0,0,0,0,0
"201495166",0.00311203319502075,0.00155601659751037,0.00155601659751037,0.000518672199170124,0.000518672199170124,0.000518672199170124,0.000518672199170124
"201495167",0.065439492689801,0.0633257001937643,0.0627972520697552,0.0619165051964066,0.0617843931654043,0.0618284305090717,0.0614761317597323
"201495168",0.00596296683753531,0.00543989957108484,0.00523067266450465,0.0046029919447641,0.0046029919447641,0.0046029919447641,0.0046029919447641
"201495169",0.00879622088287995,0.00847043492425477,0.00733018406906662,0.00700439811044144,0.00667861215181626,0.00667861215181626,0.00667861215181626
"201495170",0,0,0,0,0,0,0
"201495171",0.000997008973080758,0.000997008973080758,0.000997008973080758,0.000997008973080758,0.000997008973080758,0.000997008973080758,0.000997008973080758
"201495172",0.127174565086983,0.124175164967007,0.123575284943011,0.115776844631074,0.115776844631074,0.115776844631074,0.115176964607079
"201495173",0.0476927043052333,0.0453725186903841,0.0445991234854344,0.0438257282804847,0.0433101314771848,0.0435679298788348,0.0435679298788348
"201495174",0.0809668607947225,0.0792145544503427,0.0789568623408751,0.0784930165438334,0.0776168633716436,0.0776168633716436,0.077359171262176
"201495175",0.0952662721893491,0.0899408284023669,0.0857988165680473,0.0846153846153846,0.0840236686390533,0.0840236686390533,0.0834319526627219
"201495176",0.00350467289719626,0.00467289719626168,0.00467289719626168,0.00350467289719626,0.00233644859813084,0.00233644859813084,0.00233644859813084
