"HydroID","turf_1985_pct","turf_1990_pct","turf_1995_pct","turf_2002_pct","turf_2006_pct","turf_2010_pct","turf_2015_pct"
"201489137",0.0295877387099418,0.0299975411851488,0.0310630276206868,0.030899106630604,0.0327022375215146,0.0327022375215146,0.0326202770264732
"201489138",0.0342903908956203,0.0361935209669603,0.0383781683619522,0.0398909439585957,0.0437981368782222,0.0440456045903741,0.0441860592378116
"201489139",0.0343934381666865,0.0363939527060645,0.0385801382945932,0.0400897774131775,0.0439961506629549,0.0442431052936879,0.0443826619646181
"201489140",0.0339208513468573,0.036664449617559,0.040073162620552,0.0530428999002328,0.0567841702693715,0.0567841702693715,0.0567841702693715
"201489141",0.0410699423126596,0.0478718824441064,0.0522630083517493,0.0708320179089057,0.0847228998651092,0.0846654995264472,0.0845506988491232
"201489142",0.028936170212766,0.0285106382978723,0.0285106382978723,0.0285106382978723,0.0319148936170213,0.0319148936170213,0.0314893617021277
"201489143",0.0209454980517696,0.0220125786163522,0.0230069036878951,0.0233706811530937,0.0250359735493363,0.0250763932676917,0.0250763932676917
"201489144",0.0852079072937969,0.087252897068848,0.0879345603271984,0.087252897068848,0.0933878663940014,0.0940695296523517,0.092706203135651
"201489146",0.0295186531187421,0.0302417859526812,0.0312801305347475,0.0311317955944523,0.0331157754209004,0.0330972335533635,0.0331157754209004
"201489147",0.0582450832072617,0.0620272314674735,0.0926626323751891,0.0983358547655068,0.101361573373676,0.103630862329803,0.100605143721634
"201489148",0.0215766464532506,0.022798853006158,0.0246321628355192,0.0264184647205378,0.0276876792177878,0.0276876792177878,0.0276406712734452
"201489149",0.00622810432074737,0.00700661736084079,0.00759050214091086,0.0108991825613079,0.0112884390813546,0.012066952121448,0.011483067341378
"201489150",0.0239578342117873,0.0234786775275515,0.024436990896023,0.0258744609487302,0.0277910876856732,0.0277910876856732,0.0277910876856732
"201489157",0.0175109661553488,0.0184876734309459,0.0194382189045181,0.0198655283375919,0.0216532514759617,0.0216881338786616,0.0217840604860863
"201489158",0.0196380086734885,0.0207772876014021,0.0220745687163985,0.0228521057949381,0.0264321027180534,0.02644873452722,0.0265402094776365
"201489159",0.0210430009149131,0.0237877401646844,0.0256175663311985,0.0256175663311985,0.0265324794144556,0.0265324794144556,0.0265324794144556
"201489160",0.0234954657873042,0.0255564715581204,0.0251442704039571,0.0276174773289365,0.028441879637263,0.028441879637263,0.028441879637263
"201489161",0.00234192037470726,0.00468384074941452,0.00468384074941452,0.00702576112412178,0.00819672131147541,0.00819672131147541,0.00819672131147541
"201489162",0.00523560209424084,0.00785340314136126,0.012715033657442,0.0175766641735228,0.0261780104712042,0.0261780104712042,0.0261780104712042
"201489163",0,0,0,0,0,0,0
"201489164",0.000684228532329798,0.000684228532329798,0.00108336184285551,0.00131143802029878,0.00148249515338123,0.00148249515338123,0.00148249515338123
"201489165",0.0157642220699109,0.0164496230294722,0.0185058259081563,0.0185058259081563,0.0205620287868403,0.0205620287868403,0.0205620287868403
"201489167",0.196901226597805,0.196255648805681,0.202065848934797,0.202711426726921,0.207230471271788,0.207230471271788,0.207230471271788
"201489168",0.00772110435189518,0.0084230229293402,0.00935891436593355,0.013804398689752,0.0154422087037904,0.0154422087037904,0.0154422087037904
"201489169",0.0686528497409326,0.069300518134715,0.0738341968911917,0.0744818652849741,0.077720207253886,0.0783678756476684,0.0783678756476684
"201489170",0.0290018006091099,0.0334524630085658,0.0366900675000683,0.042101763260894,0.0450493877018094,0.045622515812263,0.0454934670986509
"201489171",0.084841628959276,0.0723981900452489,0.0757918552036199,0.080316742081448,0.081447963800905,0.081447963800905,0.081447963800905
"201489172",0.0195354921512489,0.020658505281864,0.0219748576693981,0.0227441010958634,0.0263352749531049,0.0263517293579491,0.0264422285845921
"201489173",0.00105650934871759,0.00109543337735456,0.00126225064294154,0.00127615208174046,0.0014679919371655,0.00147077222492528,0.00145687078612636
"201489174",0.012978487021513,0.0172709827290173,0.0203262296737703,0.0236087263912736,0.0253509746490254,0.0253004746995253,0.0253762246237754
"201489177",0.00237744820559266,0.0024906600249066,0.0024906600249066,0.0024906600249066,0.00260387184422054,0.00260387184422054,0.00328314276010415
"201489178",0.0271581789544739,0.0286282157053926,0.0305182629565739,0.0316132903322583,0.0364134103352584,0.0364059101477537,0.0365409135228381
"201489179",0.0391709976995825,0.0449220414075147,0.0490542728124734,0.0661583028031013,0.0774260884382721,0.0773834881145097,0.0772982874669847
