"area_sqkm","length_km","HydroID"
2.0754,1.729234518,"201483769"
26.3565,54.997487704,"201483771"
22.1058,47.162189516,"201483781"
11.061,22.739855976,"201483787"
1.071,2.089316058,"201483788"
25.8111,51.752350533,"201483789"
1.6191,3.101942822,"201483790"
19.269,39.684320989,"201483793"
2.4498,2.810631329,"201483794"
1.0674,2.768832288,"201483801"
1.6164,1.700925892,"201483818"
11.5551,13.717597509,"201483819"
7.3494,5.529109736,"201483820"
1.2816,1.772680767,"201483821"
16.884,22.261735953,"201483830"
9.7956,18.189031959,"201483835"
2.3472,5.248658943,"201483836"
6.5916,10.573287121,"201483840"
5.5134,7.482053705,"201483846"
0.7992,1.405828855,"201483848"
2.0547,4.357405724,"201483857"
7.461,12.231441618,"201483858"
5.6268,14.674425993,"201483863"
28.0179,56.466174704,"201483875"
0.882,1.295106291,"201483876"
3.2328,5.985429091,"201483879"
3.1311,3.052246517,"201483884"
0.8469,1.018896836,"201483899"
1.6362,2.577160105,"201483905"
2.0709,4.054614227,"201483910"
12.8574,24.45372952,"201483911"
188.2656,363.615944324,"201483921"
1.5768,1.975544293,"201483922"
6.1038,13.501567942,"201483933"
2.3967,4.794286507,"201483934"
1.8648,2.293987953,"201483935"
444.8295,528.870681807,"201483945"
23.319,20.072290313,"201483946"
2.3292,2.708827774,"201483949"
11.2572,21.283829212,"201483950"
22.5405,44.117656466,"201483951"
1.2825,1.779189875,"201483952"
2.5965,1.425990514,"201483959"
2.4795,5.559251519,"201483962"
13.8276,27.55473855,"201483963"
4.4784,2.764880853,"201483964"
1.7163,3.380421331,"201483967"
10.2681,9.076235143,"201483977"
15.6321,9.916595772,"201483982"
468.2889,549.377979457,"201483987"
5.6439,5.831753346,"201483988"
7.3386,5.44925292,"201483994"
17.5014,13.620842669,"201484000"
1.2924,2.91491798,"201484011"
15.4854,29.248747203,"201484012"
1.0269,1.619961107,"201484017"
2.9439,5.101777395,"201484029"
4.7232,11.235298189,"201484035"
2.8611,1.639281197,"201484041"
166.6035,313.850424194,"201484045"
169.3467,322.499797615,"201484046"
0.8109,1.744818159,"201484050"
167.9535,317.764107728,"201484051"
14.3001,28.942877573,"201484060"
1.341,4.384914407,"201484065"
190.9332,366.850078758,"201484071"
15.6429,17.840118079,"201484073"
1.8882,3.190616438,"201484076"
57.8034,56.951370735,"201484081"
25.2279,32.150952616,"201484082"
7.6068,15.69998149,"201484085"
