"HydroID","cnt","coreforest_2010_sum","coreforest_2010_pct"
201484384,1890,1172,0.62010582010582
201483899,771,476,0.617380025940337
201483922,490,23,0.0469387755102041
201484276,2271,1339,0.58960810215764
201484086,2945,2753,0.934804753820034
201483994,0,0,NA
201484041,0,0,NA
201484012,388,249,0.641752577319588
201484071,643,385,0.598755832037325
201483934,1748,1023,0.585240274599542
201484115,484,52,0.107438016528926
201483988,0,0,NA
201483987,0,0,NA
201483959,0,0,NA
201484338,3048,2088,0.68503937007874
201484136,0,0,NA
201484265,1147,270,0.23539668700959
201484175,829,694,0.837153196622437
201484229,1161,352,0.303186907838071
201484286,1672,652,0.389952153110048
201483967,856,219,0.255841121495327
201484011,1101,592,0.537693006357856
201484000,0,0,NA
201484029,2127,1279,0.601316408086507
201484122,0,0,NA
201484320,0,0,NA
201484305,3449,3111,0.902000579878226
201484017,697,160,0.229555236728838
201484264,0,0,NA
201484158,0,0,NA
201484156,1811,1175,0.648812810601877
201484188,600,288,0.48
201484412,0,0,NA
201484045,896,444,0.495535714285714
201484051,32,1,0.03125
201484046,25,0,0
201484129,0,0,NA
201484145,1017,440,0.432645034414946
201484263,0,0,NA
201484127,840,496,0.59047619047619
201484190,1228,909,0.740228013029316
201484050,409,38,0.0929095354523227
201484187,1289,562,0.43599689681924
201484065,1302,1103,0.84715821812596
201484201,1057,676,0.639545884578997
201484192,1546,1038,0.671410090556274
201484076,866,257,0.296766743648961
201484287,1246,513,0.411717495987159
201484180,58,0,0
201484107,0,0,NA
201484130,0,0,NA
201484081,0,0,NA
201484555,0,0,NA
201484196,421,56,0.133016627078385
201484114,128,31,0.2421875
201484195,408,40,0.0980392156862745
201484123,0,0,NA
201484425,0,0,NA
201484148,0,0,NA
201484230,428,63,0.147196261682243
201484218,0,0,NA
201484139,0,0,NA
201484462,1503,685,0.455755156353959
201484189,502,98,0.195219123505976
201484154,0,0,NA
201484140,0,0,NA
201484179,1173,948,0.808184143222506
201484278,0,0,NA
201484392,1296,702,0.541666666666667
201484378,1405,523,0.372241992882562
201484379,338,16,0.0473372781065089
201484335,0,0,NA
