STA_SEQ,NAME,YLAT,XLONG,HydroID
"15065",Farm River,41.279100000000000,-72.867199999999997,"201496352"
"16022",Weekeepeemee River,41.585599999999999,-73.229200000000006,"201494535"
"15138",Bantam River,41.730499999999999,-73.186800000000005,"201492718"
"16028",Carse Brook,41.855200000000004,-73.375500000000002,"201491526"
"15860",West Branch Naugatuck River,41.798000000000002,-73.117699999999999,"201491669"
"14804",Mill Brook,41.880400000000002,-73.331000000000003,"201491115"
"16003",Nickelmine Brook,41.819899999999997,-73.146100000000004,"201491449"
"16035",Nickelmine Brook,41.834200000000003,-73.178600000000003,"201491345"
"15169",Roaring Brook,41.759399999999999,-72.880799999999994,"201491654"
"15043",Furnace Brook,41.821199999999997,-73.371300000000005,"201491966"
"14222",Hancock Brook,41.579900000000002,-73.049700000000001,"201494223"
"14223",Hancock Brook,41.588500000000003,-73.050299999999993,"201494223"
"14248",Hop Brook,41.498699999999999,-73.053700000000006,"201495033"
"14792",Long Meadow Pond Brook,41.486400000000003,-73.055599999999998,"201495150"
"14129",Beacon Hill Brook,41.468400000000003,-73.050100000000000,"201495297"
"14471",Tenmile River,41.666400000000003,-73.511899999999997,"201494244"
"15529",Macedonia Brook,41.729799999999997,-73.488399999999999,"201493447"
"14172",Deep Brook,41.413100000000000,-73.282300000000006,"201496121"
"14984",Coppermine Brook,41.674599999999998,-72.906800000000004,"201492749"
"15856",Misery Brook,41.569899999999997,-72.873300000000000,"201493949"
"15964",Thompson Brook,41.768099999999997,-72.849699999999999,"201491415"
"15319",Nod Brook,41.815800000000003,-72.829400000000007,"201490889"
"15859",Means Brook,41.293100000000003,-73.144199999999998,"201496485"
"16029",padanaram brook,41.398699999999998,-73.455299999999994,"201496286"
"15531",Leadmine Brook,41.716400000000000,-73.060400000000001,"201492679"
"15035",Spruce Brook,41.747199999999999,-73.114999999999995,"201492341"
"14209",Fulling Mill Brook,41.502099999999999,-73.047100000000000,"201495008"
"14145",Branch Brook,41.643400000000000,-73.081000000000003,"201493559"
"16049",Naugatuck River,41.741199999999999,-73.114800000000002,"201492438"
"16050",Naugatuck River,41.748500000000000,-73.112899999999996,"201492329"
"14553",Norwalk River,41.260399999999997,-73.436700000000002,"201496760"
"14366",Norwalk River,41.246000000000002,-73.434100000000001,"201496832"
"16113",Hungerford Brook,41.425500000000000,-72.409400000000005,"201494629"
"16112",Hemlock Valley Brook,41.428300000000000,-72.422600000000003,"201494712"
"16119",Day Pond Brook,41.562300000000000,-72.433800000000005,"201493154"
"16121",Flat Brook,41.554400000000001,-72.452299999999994,"201493246"
"16111",Beaver Meadow Brook,41.455199999999998,-72.528800000000004,"201494547"
