"HydroID","cnt","openwater_1985_sum","openwater_1990_sum","openwater_1995_sum","openwater_2002_sum","openwater_2006_sum","openwater_2010_sum","openwater_2015_sum"
201484452,142,63,63,61,61,61,61,60
201484453,713,129,124,122,122,122,122,120
201484460,0,0,0,0,0,0,0,0
201484461,157,24,21,17,16,16,16,16
201484462,2490,112,110,105,102,101,101,101
201484466,1212,0,0,0,0,0,0,0
201484467,3762,0,0,0,0,0,0,0
201484477,2137,0,0,1,1,1,1,1
201484478,1993,51,42,40,42,40,40,40
201484483,0,0,0,0,0,0,0,0
201484484,1440,2,2,2,3,3,3,5
201484492,1174,0,0,0,0,0,0,0
201484502,898,0,0,0,0,0,0,0
201484503,883,9,10,8,9,9,9,9
201484511,225,0,0,0,0,0,0,0
201484515,0,0,0,0,0,0,0,0
201484518,2605,215,200,158,154,154,154,151
201484521,0,0,0,0,0,0,0,0
201484522,180,0,0,0,0,0,0,0
201484523,713,0,0,0,0,0,0,0
201484526,1253,19,11,12,11,10,10,10
201484527,2276,66,60,50,47,46,46,46
201484529,419,0,0,0,0,0,0,0
201484530,1548,0,0,0,0,0,0,0
201484533,2093,0,0,0,0,0,0,0
201484540,18,11,9,10,5,5,5,5
201484541,519,35,32,30,27,27,27,27
201484542,893,3,3,3,3,3,3,3
201484543,248,0,0,0,0,0,0,0
201484548,246,2,2,2,2,2,2,2
201484555,0,0,0,0,0,0,0,0
