staSeq,date,reachLen,totalInd,sampYr,lev1Name,lev1Memb,lev2Name,lev2Memb,levPropNum
16647,1989-09-06,100,358,1989,5,0.6452514,4,0.354748603,4.645251413
16980,1989-09-06,130,73,1989,4,1,NA,0,4
16518,1989-09-07,160,447,1989,2,0.776286353,3,0.22371365,2.223713657
17117,1989-09-11,30,60,1989,1,0.5,2,0.5,1.5
16678,1989-09-11,100,66,1989,5,1,NA,0,5
17033,1989-09-11,150,422,1989,2,0.763033175,3,0.23696682,2.236966811
15270,1989-09-12,150,114,1989,5,0.75,4,0.25,4.75
16760,1989-09-13,155,860,1989,5,1,NA,0,5
16834,1989-09-14,150,99,1989,4,0.785714286,5,0.21428571,4.214285693
14270,1989-09-18,150,225,1989,4,1,NA,0,4
15333,1989-09-21,150,188,1989,5,1,NA,0,5
16789,1989-09-25,150,299,1989,4,0.75,3,0.25,3.75
16879,1989-09-27,50,31,1989,3,0.91935484,2,0.080645161,2.919354843
17090,1989-09-27,100,256,1989,4,1,NA,0,4
15002,1989-10-03,83,136,1989,4,1,NA,0,4
16636,1989-10-04,200,162,1989,4,0.796296296,5,0.2037037,4.203703685
16826,1989-10-05,50,87,1989,5,1,NA,0,5
17006,1989-10-10,150,16,1989,2,1,NA,0,2
16568,1990-06-13,150,154,1990,6,0.75974026,5,0.24025974,5.759740261
14358,1990-06-14,150,339,1990,4,0.576696165,5,0.42330383,4.423303811
16698,1990-06-15,100,54,1990,5,1,NA,0,5
16788,1990-06-15,60,12,1990,5,1,NA,0,5
16176,1990-06-15,150,126,1990,4,1,NA,0,4
17062,1990-06-18,50,136,1990,5,1,NA,0,5
16580,1990-06-18,50,22,1990,5,1,NA,0,5
16604,1990-06-18,100,111,1990,6,1,NA,0,6
17061,1990-06-18,100,30,1990,6,1,NA,0,6
16910,1990-06-18,150,98,1990,6,1,NA,0,6
16707,1990-06-19,100,88,1990,5,1,NA,0,5
17053,1990-06-19,68,198,1990,6,1,NA,0,6
16753,1990-06-19,100,171,1990,5,1,NA,0,5
16597,1990-06-20,100,335,1990,2,0.544776119,3,0.45522388,2.455223879
16731,1990-06-20,100,229,1990,1,0.5,2,0.5,1.5
16752,1990-06-20,100,101,1990,5,1,NA,0,5
15274,1990-06-20,150,234,1990,2,0.75,3,0.25,2.25
17027,1990-06-21,150,206,1990,2,1,NA,0,2
16622,1990-06-21,150,363,1990,4,1,NA,0,4
16740,1990-06-21,100,53,1990,6,1,NA,0,6
16194,1990-06-25,150,308,1990,4,1,NA,0,4
16588,1990-06-25,50,13,1990,6,0.88461538,5,0.115384615,5.884615357
17166,1990-06-25,50,229,1990,3,1,NA,0,3
16917,1990-06-25,50,117,1990,5,1,NA,0,5
16519,1990-06-25,50,125,1990,3,0.85,4,0.15,3.15
14146,1990-06-26,150,189,1990,3,0.808201058,4,0.19179894,3.191798935
16820,1990-06-26,100,183,1990,4,1,NA,0,4
16970,1990-06-26,150,298,1990,5,1,NA,0,5
16044,1990-06-26,100,29,1990,4,0.982758621,5,0.01724138,4.017241383
15195,1990-06-27,50,13,1990,6,1,NA,0,6
16132,1990-06-27,100,252,1990,3,1,NA,0,3
16849,1990-06-27,150,255,1990,4,0.875,5,0.125,4.125
15396,1990-06-28,150,548,1990,3,1,NA,0,3
16856,1990-06-28,100,88,1990,4,0.931818182,5,0.06818182,4.068181827
16025,1990-07-02,50,40,1990,6,1,NA,0,6
14667,1990-07-02,150,98,1990,5,0.666666667,4,0.173469388,4.986394584
16648,1990-07-02,150,210,1990,4,1,NA,0,4
16045,1990-07-03,150,442,1990,4,1,NA,0,4
16835,1990-07-03,150,124,1990,4,1,NA,0,4
15081,1990-07-05,200,447,1990,4,1,NA,0,4
16907,1990-07-06,50,144,1990,5,1,NA,0,5
16583,1990-07-06,100,132,1990,4,1,NA,0,4
16528,1990-07-06,100,356,1990,4,1,NA,0,4
14605,1990-07-09,150,299,1990,2,0.91638796,3,0.08361204,2.08361204
14394,1990-07-09,150,263,1990,4,1,NA,0,4
14413,1990-07-10,200,327,1990,4,0.51529052,3,0.48470948,3.51529052
15374,1990-07-11,130,85,1990,5,1,NA,0,5
16596,1990-07-11,50,241,1990,5,1,NA,0,5
15893,1990-07-11,150,267,1990,5,0.49812734,3,0.251872659,4.246254678
15370,1990-07-12,150,822,1990,3,1,NA,0,3
15066,1990-07-16,50,202,1990,5,1,NA,0,5
15855,1990-07-16,150,177,1990,2,0.858757062,3,0.14124294,2.141242944
16694,1990-07-16,50,15,1990,6,1,NA,0,6
16925,1990-07-16,150,42,1990,4,1,NA,0,4
15111,1990-07-17,150,518,1990,4,0.86036036,3,0.13963964,3.860360359
16729,1990-07-17,50,23,1990,5,1,NA,0,5
16994,1990-07-17,100,337,1990,4,0.75,3,0.25,3.75
16773,1990-07-17,100,162,1990,5,1,NA,0,5
16776,1990-07-18,50,351,1990,5,1,NA,0,5
16744,1990-07-18,50,24,1990,5,0.833333333,6,0.16666667,5.166666687
16634,1990-07-18,50,74,1990,3,0.66216216,2,0.337837838,2.662162156
16911,1990-07-18,50,56,1990,5,0.833333333,6,0.16666667,5.166666687
16547,1990-07-18,100,209,1990,5,1,NA,0,5
16534,1990-07-18,50,233,1990,5,1,NA,0,5
15197,1990-07-19,150,480,1990,4,0.7,3,0.3,3.7
17109,1990-07-19,150,69,1990,4,1,NA,0,4
14444,1990-07-23,150,249,1990,4,1,NA,0,4
16621,1990-07-24,150,259,1990,4,0.754826255,5,0.24517375,4.245173769
17012,1990-07-24,50,114,1990,5,0.833333333,6,0.16666667,5.166666687
15553,1990-07-25,150,262,1990,3,0.986641221,5,0.01335878,3.026717564
16909,1990-07-25,50,16,1990,2,1,NA,0,2
14300,1990-07-26,150,803,1990,4,1,NA,0,4
16530,1990-07-26,60,153,1990,3,0.5,4,0.5,3.5
16875,1990-07-26,50,30,1990,5,0.83333333,3,0.166666667,4.66666665
16586,1990-07-30,100,283,1990,4,1,NA,0,4
16587,1990-07-30,95,160,1990,5,1,NA,0,5
16720,1990-07-30,150,389,1990,4,0.638817481,5,0.36118252,4.361182523
16571,1990-07-31,50,254,1990,5,1,NA,0,5
15890,1990-07-31,150,159,1990,5,0.59433962,3,0.405660377,4.188679232
16913,1990-07-31,50,100,1990,2,1,NA,0,2
14362,1990-07-31,100,243,1990,4,1,NA,0,4
16908,1990-07-31,49,70,1990,6,1,NA,0,6
16552,1990-08-01,36,69,1990,6,1,NA,0,6
16593,1990-08-01,62,122,1990,6,1,NA,0,6
15016,1990-08-02,120,190,1990,4,1,NA,0,4
16262,1990-08-02,150,445,1990,4,1,NA,0,4
15271,1990-08-06,150,317,1990,4,1,NA,0,4
16485,1990-08-09,50,92,1990,5,1,NA,0,5
16478,1990-08-09,100,258,1990,3,0.5,4,0.5,3.5
16848,1990-08-10,150,666,1990,5,0.7012012,4,0.298798799,4.701201195
15360,1990-08-10,100,458,1990,4,1,NA,0,4
16662,1990-08-13,150,271,1990,4,0.785714286,5,0.21428571,4.214285693
14489,1990-08-13,168,556,1990,5,0.92857143,4,0.071428571,4.928571436
17083,1990-08-13,50,111,1990,5,1,NA,0,5
16477,1990-08-13,100,493,1990,3,0.510141988,4,0.48985801,3.489858003
14445,1990-08-14,200,574,1990,4,1,NA,0,4
14432,1990-08-14,150,790,1990,3,0.990506329,4,0.00949367,3.009493667
14293,1990-08-16,150,505,1990,3,1,NA,0,3
14150,1990-08-20,150,341,1990,5,1,NA,0,5
17104,1990-08-21,100,176,1990,4,1,NA,0,4
17105,1990-08-21,45,74,1990,4,1,NA,0,4
16454,1990-08-21,150,449,1990,4,1,NA,0,4
15266,1990-08-22,145,524,1990,4,1,NA,0,4
14194,1990-08-23,150,672,1990,3,1,NA,0,3
17180,1990-08-27,100,25,1990,5,1,NA,0,5
16550,1990-08-28,100,29,1990,6,0.66666667,5,0.333333333,5.666666687
14310,1990-08-30,150,911,1990,4,0.60793999,3,0.392060007,3.607939982
16503,1990-09-04,50,215,1990,5,1,NA,0,5
17204,1990-09-04,105,244,1990,4,1,NA,0,4
16897,1990-09-10,100,95,1990,5,1,NA,0,5
16927,1990-09-12,50,260,1990,5,1,NA,0,5
16473,1990-09-13,50,103,1990,5,1,NA,0,5
17065,1990-09-13,50,12,1990,3,1,NA,0,3
16881,1990-09-13,30,16,1990,5,1,NA,0,5
16850,1990-09-19,150,745,1990,4,1,NA,0,4
16950,1990-09-20,150,160,1990,4,0.6875,5,0.3125,4.3125
16949,1990-09-20,100,384,1990,4,1,NA,0,4
16951,1990-09-21,150,397,1990,3,1,NA,0,3
16281,1990-09-24,95,361,1990,3,1,NA,0,3
16663,1990-09-25,100,149,1990,5,1,NA,0,5
16958,1990-09-27,150,238,1990,4,1,NA,0,4
17038,1991-06-13,200,799,1991,2,0.624530663,3,0.37546934,2.375469347
14453,1991-06-17,100,97,1991,2,0.75,3,0.25,2.25
16632,1991-06-17,50,173,1991,5,1,NA,0,5
17137,1991-06-17,50,41,1991,5,0.5304878,3,0.469512195,4.060975585
17193,1991-06-17,150,237,1991,3,1,NA,0,3
14129,1991-06-17,150,316,1991,3,0.58227848,2,0.417721519,2.582278478
17057,1991-06-18,50,132,1991,2,1,NA,0,2
15025,1991-06-18,200,717,1991,3,1,NA,0,3
16937,1991-06-19,100,156,1991,5,1,NA,0,5
16708,1991-06-19,100,117,1991,3,0.91880342,1,0.081196581,2.837606841
16792,1991-06-19,100,391,1991,5,1,NA,0,5
16839,1991-06-19,50,144,1991,4,1,NA,0,4
15426,1991-06-20,100,125,1991,2,0.75,3,0.25,2.25
15269,1991-06-20,150,384,1991,3,1,NA,0,3
15577,1991-06-24,100,147,1991,4,1,NA,0,4
16425,1991-06-24,150,206,1991,3,1,NA,0,3
15763,1991-06-24,100,471,1991,4,0.75,3,0.25,3.75
16777,1991-06-25,50,110,1991,5,0.66666667,4,0.333333333,4.666666683
16650,1991-06-25,150,396,1991,4,0.75,3,0.25,3.75
16493,1991-06-25,75,29,1991,5,0.557471264,6,0.44252874,5.442528762
16492,1991-06-25,100,77,1991,3,0.75,4,0.25,3.25
16862,1991-06-26,50,188,1991,3,1,NA,0,3
17119,1991-06-26,125,249,1991,5,0.85140562,4,0.148594378,4.85140561
16725,1991-06-26,45,86,1991,3,0.412790698,4,0.333333333,3.841085276
16785,1991-06-26,100,52,1991,1,1,NA,0,1
17120,1991-06-26,50,43,1991,3,0.94186047,2,0.058139535,2.94186048
14280,1991-06-26,150,342,1991,3,1,NA,0,3
14316,1991-06-27,180,636,1991,4,1,NA,0,4
16688,1991-07-01,100,387,1991,3,0.5,4,0.5,3.5
15115,1991-07-01,150,95,1991,4,1,NA,0,4
16983,1991-07-01,120,227,1991,5,1,NA,0,5
17128,1991-07-01,50,42,1991,5,1,NA,0,5
14740,1991-07-01,150,416,1991,4,1,NA,0,4
16727,1991-07-02,50,62,1991,5,1,NA,0,5
16741,1991-07-02,100,173,1991,3,0.9566474,2,0.043352601,2.956647402
15102,1991-07-02,150,29,1991,4,0.706896552,5,0.29310345,4.293103457
15977,1991-07-02,50,216,1991,3,0.5,4,0.5,3.5
16770,1991-07-02,100,95,1991,3,0.75,4,0.25,3.25
14455,1991-07-08,150,529,1991,4,1,NA,0,4
14456,1991-07-08,150,411,1991,4,1,NA,0,4
16916,1991-07-08,50,284,1991,4,0.86971831,3,0.13028169,3.86971831
17178,1991-07-08,50,107,1991,4,0.75,3,0.25,3.75
16817,1991-07-08,50,92,1991,3,0.75,4,0.25,3.25
17130,1991-07-09,50,78,1991,3,0.80769231,2,0.192307692,2.807692315
16748,1991-07-09,150,453,1991,2,0.944812362,3,0.05518764,2.055187644
14967,1991-07-09,100,205,1991,4,1,NA,0,4
16724,1991-07-09,150,277,1991,3,0.602286402,4,0.3977136,3.397713606
14130,1991-07-09,115,115,1991,5,1,NA,0,5
16701,1991-07-10,100,421,1991,4,1,NA,0,4
14463,1991-07-10,150,199,1991,5,0.99413735,3,0.005862647,4.98827469
15664,1991-07-10,165,326,1991,4,1,NA,0,4
16649,1991-07-11,150,404,1991,3,0.583333333,4,0.41666667,3.41666668
16681,1991-07-11,150,235,1991,4,0.75,3,0.25,3.75
16972,1991-07-11,50,94,1991,2,0.691489362,3,0.30851064,2.308510643
16638,1991-07-15,150,534,1991,3,1,NA,0,3
14186,1991-07-15,150,399,1991,3,0.955304929,4,0.04469507,3.044695067
14500,1991-07-16,50,95,1991,2,1,NA,0,2
14458,1991-07-16,150,57,1991,5,0.75,4,0.25,4.75
16693,1991-07-16,100,139,1991,4,1,NA,0,4
14355,1991-07-17,150,1086,1991,3,0.662676489,4,0.33732351,3.337323506
16718,1991-07-18,165,260,1991,2,0.538461538,3,0.46153846,2.461538457
17032,1991-07-18,135,385,1991,4,1,NA,0,4
16804,1991-07-22,50,248,1991,3,0.963709677,4,0.03629032,3.036290312
16431,1991-07-22,170,421,1991,3,0.59382423,2,0.406175772,2.593824234
